Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
122,regulation of reactive oxygen species metabolic process (GO:2000377),0.0014670547641947606,40.25252525252525,262.62753860977597,"['PDGFRB', 'TP53']",0.007864375539207978,0,0
123,positive regulation of apoptotic signaling pathway (GO:2001235),0.0015708812917978867,38.83625730994152,250.73147869740146,"['BCL2', 'TP53']",0.008285131974482402,0,0
124,response to reactive oxygen species (GO:0000302),0.0015708812917978867,38.83625730994152,250.73147869740146,"['PDGFRA', 'EGFR']",0.008285131974482402,0,0
125,positive regulation of DNA metabolic process (GO:0051054),0.0017887742591710433,36.28233151183971,229.5301805177287,"['PDGFRB', 'EGFR']",0.009284590202363987,0,0
126,cellular response to reactive oxygen species (GO:0034614),0.0017887742591710433,36.28233151183971,229.5301805177287,"['PDGFRA', 'EGFR']",0.009284590202363987,0,0
127,cellular response to decreased oxygen levels (GO:0036294),0.0021410236112441882,33.02321724709785,202.97625510439198,"['TP53', 'VEGFA']",0.010950163218751061,0,0
128,negative regulation of cellular process (GO:0048523),0.002143151211009382,8.637900355871887,53.084026642473205,"['ERBB4', 'BCL2', 'RAF1', 'TP53']",0.010950163218751061,0,0
129,establishment of protein localization to membrane (GO:0090150),0.0022026761035863623,32.5359477124183,199.05760409273054,"['BRAF', 'EGFR']",0.01116705559492621,0,0
130,myeloid leukocyte differentiation (GO:0002573),0.002265165629135075,32.06280193236715,195.26590722566357,"['KIT', 'VEGFA']",0.011316830272891206,0,0
131,negative regulation of signal transduction (GO:0009968),0.00226682685894304,13.179144385026738,80.2527429151964,"['ERBB2', 'BCL2', 'EGFR']",0.011316830272891206,0,0
132,DNA metabolic process (GO:0006259),0.0025161381300716525,12.691713181623014,75.96028466359836,"['TOP2A', 'TOP2B', 'MGMT']",0.012466320735355004,0,0
133,negative regulation of cellular component organization (GO:0051129),0.002864980299696872,28.35042735042735,165.9972465923349,"['RAF1', 'VEGFA']",0.013982814298520553,0,0
134,positive regulation of cell adhesion (GO:0045785),0.002864980299696872,28.35042735042735,165.9972465923349,"['ERBB2', 'VEGFA']",0.013982814298520553,0,0
135,cytokine-mediated signaling pathway (GO:0019221),0.0030002003209298874,7.845623987034036,45.575827725510756,"['KIT', 'BCL2', 'TP53', 'VEGFA']",0.01453430377694923,0,0
136,B cell activation (GO:0042113),0.0032270347482887224,26.635876840696117,152.78849293856263,"['KIT', 'BCL2']",0.015404968798400177,0,0
137,regulation of cell cycle G2/M phase transition (GO:1902749),0.0032270347482887224,26.635876840696117,152.78849293856263,"['TUBB', 'TP53']",0.015404968798400177,0,0
138,regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),0.0033775636848334387,26.00653594771242,147.99280991824526,"['TP53', 'VEGFA']",0.016006714854210645,0,0
139,regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281),0.003531335428959874,25.406130268199234,143.44502292528725,"['RAF1', 'VEGFA']",0.016615060219710487,0,0
140,regulation of actin cytoskeleton organization (GO:0032956),0.003688337741346025,24.83270911360799,139.12722450187454,"['PDGFRB', 'PDGFRA']",0.017229806306002144,0,0
141,hemopoiesis (GO:0030097),0.003929871828835359,24.019323671497585,133.04659989721253,"['KIT', 'TP53']",0.018227916142257623,0,0
142,response to UV (GO:0009411),0.004348408989517873,22.77548682703322,123.85185041479878,"['TP53', 'EGFR']",0.02002299518498396,0,0
143,epithelial cell differentiation (GO:0030855),0.0045213816583109445,22.31313131313131,120.46720485255871,"['ERBB4', 'VEGFA']",0.02002299518498396,0,0
144,intrinsic apoptotic signaling pathway (GO:0097193),0.004609052918383906,22.08888888888889,118.83232192165295,"['BCL2', 'TP53']",0.02002299518498396,0,0
145,chromosome organization (GO:0051276),0.00496760240434477,21.235042735042736,112.64803627089995,"['TOP2A', 'TOP2B']",0.02002299518498396,0,0
146,positive regulation of axon extension involved in axon guidance (GO:0048842),0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.02002299518498396,0,0
147,regulation of retinal ganglion cell axon guidance (GO:0090259),0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.02002299518498396,0,0
148,apoptotic chromosome condensation (GO:0030263),0.00499044069595166,262.8421052631579,1393.123889480945,['TOP2A'],0.02002299518498396,0,0
149,regulation of adherens junction organization (GO:1903391),0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.02002299518498396,0,0
150,positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway (GO:0038033),0.00499044069595166,262.8421052631579,1393.123889480945,['VEGFA'],0.02002299518498396,0,0
