Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Library
9,Intracellular Signaling By Second Messengers R-HSA-9006925,1.1976491937014746e-08,35.44301517880113,646.4919426584594,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'TP53', 'EGFR']",3.2644120008210456e-07,0,0,Reactome_2022
11,MAPK Family Signaling Cascades R-HSA-5683057,1.5610397361678714e-08,34.054662379421224,612.1437482381131,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR']",3.533626311870909e-07,0,0,Reactome_2022
14,protein autophosphorylation (GO:0046777),8.117102037629939e-09,55.53781512605042,1034.6302104800734,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",3.791846237578557e-07,0,0,GO_Biological_Process_2021
15,positive regulation of protein kinase B signaling (GO:0051897),8.74925455676394e-09,54.815668202764975,1017.066206380574,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",3.814674986749078e-07,0,0,GO_Biological_Process_2021
12,Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260,4.194753512885026e-08,155.84375,2647.293806733271,"['KIT', 'ERBB2', 'EGFR', 'VEGFA']",8.704113539236429e-07,0,0,Reactome_2022
16,regulation of MAP kinase activity (GO:0043405),3.53844571885303e-08,72.05797101449275,1236.2981169499885,"['PDGFRB', 'KIT', 'ERBB2', 'EGFR', 'VEGFA']",1.446339687581176e-06,0,0,GO_Biological_Process_2021
17,regulation of protein kinase B signaling (GO:0051896),3.926146736828601e-08,42.172707889125796,719.1721269518785,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",1.5104117446387677e-06,0,0,GO_Biological_Process_2021
18,positive regulation of protein phosphorylation (GO:0001934),4.497199016115254e-08,29.01775147928994,490.89985925990686,"['ERBB4', 'ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",1.6339823091885424e-06,0,0,GO_Biological_Process_2021
19,negative regulation of programmed cell death (GO:0043069),5.3944793626715775e-08,28.227478403948993,472.39545069227796,"['MGMT', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",1.8092634322061516e-06,0,0,GO_Biological_Process_2021
20,positive regulation of protein serine/threonine kinase activity (GO:0071902),5.532915694820035e-08,65.60726072607261,1096.2950840761537,"['PDGFRB', 'KIT', 'ERBB2', 'EGFR', 'VEGFA']",1.8092634322061516e-06,0,0,GO_Biological_Process_2021
13,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,1.1187094683620841e-07,25.2612064194798,404.328846285171,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR']",2.142758904785838e-06,0,0,Reactome_2022
14,ERBB2 Activates PTK6 Signaling R-HSA-8847993,2.4298488113208605e-07,352.4117647058824,5367.325134065376,"['ERBB4', 'ERBB2', 'EGFR']",4.32165967156353e-06,0,0,Reactome_2022
4,platelet-derived growth factor receptor binding (GO:0005161),2.4298488113208605e-07,352.4117647058824,5367.325134065376,"['PDGFRB', 'PDGFRA', 'VEGFA']",4.616712741509635e-06,0,0,GO_Molecular_Function_2021
